start_time,end_time,#,num_deliveries,num_couriers,eta_error,engaged_time
8:00,8:15,1,42,52,-2.74,34.32
8:15,8:30,2,52,68,-2.73,26.80
8:30,8:45,3,62,64,-3.02,22.92
8:45,9:00,4,76,90,-3.41,28.19
9:00,9:15,5,84,104,-3.60,35.00
9:15,9:30,6,91,94,-4.04,26.91
9:30,9:45,7,94,119,-3.08,35.00
9:45,10:00,8,103,133,-3.25,22.00
10:00,10:15,9,111,112,-2.34,32.66
10:15,10:30,10,110,113,-3.17,35.00
10:30,10:45,11,120,152,-3.67,35.00
10:45,11:00,12,136,155,-2.75,24.01
11:00,11:15,13,150,170,-2.89,23.43
11:15,11:30,14,173,208,-2.80,20.99
11:30,11:45,15,215,249,-2.62,21.91
11:45,12:00,16,269,280,-1.63,26.83
12:00,12:15,17,294,326,-0.81,34.19
12:15,12:30,18,318,413,-0.38,33.86
12:30,12:45,19,318,356,-0.46,34.54
12:45,13:00,20,314,399,-0.78,33.44
13:00,13:15,21,295,307,-0.94,33.13
13:15,13:30,22,277,346,-0.70,31.50
13:30,13:45,23,255,332,-1.47,32.07
13:45,14:00,24,234,253,-1.31,31.08
14:00,14:15,25,224,271,-1.46,27.70
14:15,14:30,26,189,236,-1.59,31.82
14:30,14:45,27,184,210,-2.01,24.96
14:45,15:00,28,181,217,-1.05,32.89
15:00,15:15,29,175,221,-1.76,29.71
15:15,15:30,30,176,211,-1.20,32.60
15:30,15:45,31,174,205,-1.00,30.00
15:45,16:00,32,172,182,-1.11,33.89
16:00,16:15,33,174,181,-1.23,33.77
16:15,16:30,34,185,200,-1.49,30.52
16:30,16:45,35,209,240,-0.94,31.22
16:45,17:00,36,234,285,-1.19,31.43
17:00,17:15,37,255,268,-0.80,32.60
17:15,17:30,38,282,358,-0.97,35.00
17:30,17:45,39,312,318,-0.45,33.64
17:45,18:00,40,368,460,-0.77,34.23
18:00,18:15,41,410,533,-0.71,32.17
18:15,18:30,42,416,420,-0.34,34.66
18:30,18:45,43,445,467,-0.11,34.47
18:45,19:00,44,467,504,0.12,35.12
19:00,19:15,45,468,557,0.42,35.84
19:15,19:30,46,461,530,0.60,36.81
19:30,19:45,47,447,465,0.70,38.52
19:45,20:00,48,416,524,0.40,36.20
20:00,20:15,49,367,407,0.17,35.84
20:15,20:30,50,312,318,0.00,35.00
20:30,20:45,51,265,294,-0.74,32.05
20:45,21:00,52,230,276,-0.94,35.00
21:00,21:15,53,197,240,-1.55,30.35
21:15,21:30,54,165,186,-2.11,26.54
21:30,21:45,55,144,177,-2.24,23.81
21:45,22:00,56,117,123,-2.58,27.26
